EventID,EventName,StartYear,EndYear,Country,CountryCode,Casualty,Cause,Reference
101,Famine in Nigeria,1903,1906,Nigeria,NGA,"5,000",,
102,Famine in South Tanzania,1906,1906,Tanzania,TZA,"37,500",,
103,Famines in East-Central China,1907,1911,China,CHN,"25,000,000",,
104,Famine in West Africa,1913,1914,Ghana,GHA,"125,000",,
104,Famine in West Africa,1913,1914,Nigeria,NGA,"125,000",,
105,Mount Lebanon Famine in WW1,1914,1918,Lebanon,LBN,,,
106,Famine in Germany in WW1,1916,1917,Germany,DEU,,,
107,Winter Famine in Russia,1916,1917,Russia,RUS,,,
108,Famine in Persia,1917,1919,Iran,IRN,"9,000,000",,
109,Famine in Central Tanzania,1917,1919,Tanzania,TZA,"30,000",,
110,A series of famine in Turkestan in October Revolution,1917,1921,Kazakhstan,KAZ,,,
111,"Famine in China, Gansu, Shaanxi",1920,1921,China,CHN,"500,000",,
112,Russian Famine of 1921,1921,1921,Russia,RUS,"5,000,000",,
113,Famine in Volga,1921,1922,Russia,RUS,"7,000,000",,
114,Famine in North Weat China,1927,1927,China,CHN,"6,000,000",,
115,Famine in Ruwanda-Burundi,1928,1929,Brundi,BDI,"300,000",,
115,Famine in Ruwanda-Burundi,1928,1929,Ruwanda,RWA,"300,000",,
116,Famine in Northan China,1928,1930,China,CHN,"3,000,000",,
117,"Famine in China, Hunan",1929,1929,China,CHN,"2,000,000",,
118,Soviet Famine,1932,1933,Ukraine,UKR,"8,500,000",,
119,Famine in China,1936,1936,China,CHN,"5,000,000",,
120,Famine in Warsaw Ghetto,1940,1943,Poland,POL,"112,000",,
121,Leningrad Famine,1941,1944,Russia,RUS,"1,000,000",,
122,Famine in Greece,1941,1944,Greece,GRC,"300,000",,
123,"Famine in China, Henan",1943,1943,China,CHN,"5,000,000",,
124,Bengal Famine of 1943,1943,1943,India,IND,"2,500,000",,
125,Famine in Ruwanda-Burundi,1943,1943,Brundi,BDI,"300,000",,
125,Famine in Ruwanda-Burundi,1943,1943,Ruwanda,RWA,"300,000",,
126,Dutch Famine of 1944,1944,1944,Netherlands,NLD,"20,000",,
127,Vietnamese Famine of 1945,1945,1945,Vietnam,VNM,"1,200,000",,
128,Soviet Famine of 1947,1947,1947,Russia,RUS,"1,200,000",,
129,Famine in Tigray,1958,1958,Ethiopia,ETH,"300,000",,
130,The Great Chinese Famine,1959,1961,China,CHN,"30,000,000",,
131,Weg-Lasta Famine,1966,1966,Ethiopia,ETH,"60,000",,
132,Biafran Famine,1967,1970,Nigeria,NGA,"1,000,000",,
133,Sahel Drought,1968,1972,Mauritania,MRT,"101,000",,
134,Maharashta draught,1972,1972,India,IND,"100,000",,
135,Famine in Ethiopia,1972,1973,Ethiopia,ETH,"400,000",,
136,Famine in Somalia,1974,1975,Somalia,SOM,"20,000",,
137,Bangladesh Famine of 1974,1974,1974,Bangladesh,NGD,"500,000",,
138,Khmer Rouge,1975,1979,Cambodia,KHM,"2,000,000",,
139,Karamoja,1980,1981,Uganda,UGA,"30,000",,
140,Famine in Mozanbique,1982,1985,Mozanbique,MOZ,"100,000",,
141,"Famine in Sudan, Darfur, Kordofan",1984,1985,Sudan,SDN,"250,000",,
142,Famine in Ethiopia,1984,1985,Ethiopia,ETH,"1,000,000",,
143,Famine in Sudan,1988,1988,Sudan,SDN,"250,000",,
144,Famine in Somalia,1991,1992,Somalia,SOM,"300,000",,
145,North Korean Famine,1996,1996,North Korea,PRK,"3,500,000",,
146,Famine in Sudan,1988,1988,Sudan,SDN,"70,000",,
147,Famine in Ethiopia,1998,2000,Ethiopia,ETH,,,
148,Second Congo War,1998,2004,Democratic Republic of the Congo,COD,"3,800,000",,
149,Zinbabwe Food Crisis,2000,2007,Zinbabwe,ZWE,,,
150,Darfur Conflict,2003,2003,Sudan,SDN,,,
151,Malawi Food Crisis,2005,2005,Malawi,MWI,,,
152,Niger Food Crisis,2005,2006,Niger,NER,,,
153,Horn of Africa Food Crisis,2006,2006,Eritrea,ERI,,,
153,Horn of Africa Food Crisis,2006,2006,Kenya,KEN,,,
153,Horn of Africa Food Crisis,2006,2006,Somalia,SOM,,,
154,Famine in Somalia,2011,2011,Somalia,SOM,,,
155,Famine in Somalia,2011,2011,Ethiopia,ETH,,,
155,Famine in Somalia,2011,2011,Kenya,KEN,,,
156,Famine in West Africa,2012,2012,Burkina Faso,BFA,,,
156,Famine in West Africa,2012,2012,Gambia,GMB,,,
156,Famine in West Africa,2012,2012,Mali,MLI,,,
156,Famine in West Africa,2012,2012,Mauritania,MRT,,,
156,Famine in West Africa,2012,2012,Niger,NER,,,
156,Famine in West Africa,2012,2012,Senegal,SEN,,,
157,Femine in North Korea,2012,2012,North Korea,PRK,"10,000",,
158,Famine in South Sudan,2013,2014,South Sudan,SSD,,,
159,Famine in South Sudan,2016,2018,South Sudan,SSD,"100,000",,
160,Famine in North Korea,2019,2019,North Korea,PRK,,,
