ISO3,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AFG,59.7731938409853,59.8608738790779,58.458014949543895,78.7063875407802,82.0952307131832,101.10830485337699,137.594352053111,160.89858887243798,129.108323102596,129.329712876621,156.518939442982,159.567578521888,135.31730831433,143.14464950008102,173.653764639169,186.510897140201,197.44550755114497,224.224797281134,247.354106347038,275.738197619262,272.65528565023203,264.11131745306096,,,,,,,,,,,,,,,,,,,,,179.42649446762402,190.684008786064,211.381969507195,242.03137917335098,263.733734678911,359.693480030525,364.660465388571,438.076034406941,543.303041863931,591.16234645088,641.872033785411,637.16504385598,613.856332882312,578.466352941708,547.228110150363,556.302138508508,520.896602719135
ALB,,,,,,,,,,,,,,,,,,,,,,,,,639.48473584821,639.865909445734,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.27922507758103,586.416339644261,750.604449178826,1009.9776675210601,717.380567391734,813.790263555599,1033.2416930932002,1126.68331762741,1281.65939343074,1425.1248488836802,1846.11881331912,2373.57984371994,2673.78728253113,2972.7432646217603,3595.0371632151396,4370.540086547489,4114.14015001395,4094.36211924475,4437.17806741261,4247.61427862374,4413.0817427964,4578.666720313329,3952.8294583257793,4124.10890718622,4532.89016212124,5268.84850355919
DZA,246.30876252962003,214.77627351619202,172.245997766356,226.899988804342,238.048532020905,249.883486058815,235.598111822427,253.923650753479,281.925745024389,302.752306734104,336.224855584547,341.38898734049803,442.35187819350404,554.7551249292089,817.988308478181,936.790025769149,1037.6070384405198,1192.74388765763,1456.41939597215,1782.6979813791102,2202.99736479746,2237.0863249035397,2210.30192760168,2312.6556194825102,2467.34642199031,2582.87958916856,2757.13052415538,2807.33029744222,2417.3766834056,2215.84755797478,2408.6888148224803,1731.6112744431698,1776.03667438071,1807.3285484625799,1507.8653180362699,1452.26944487837,1603.93792062434,1619.8062239142098,1596.00371429844,1588.2984525176998,1764.8882221337199,1740.5600687027697,1781.7585713226501,2103.4531050538,2609.94560777437,3113.1010943281394,3478.81854327462,3950.56160744508,4923.54009872171,3883.3781428470293,4480.724539001129,5455.74133764262,5592.32609806051,5499.58148704572,5493.025589962629,4177.867517159129,3946.4214445883003,4044.2983722652293,4114.71506136896
AGO,,,,,,,,,,,,,,,,,,,,,710.981648140027,642.383857952257,619.9613575311099,623.440584831564,637.715230700475,758.237576171151,685.270085316704,756.2618530274119,792.3031202186439,890.5541364590081,947.7041820853709,865.69272959239,656.361755960006,441.200673252825,328.673294707808,397.17945076947194,522.643807265256,514.295223223424,423.59366023208,387.784316047502,556.836318086553,527.333528536691,872.4944915928411,982.960899291112,1255.5640447149099,1902.42234554625,2599.56646397608,3121.99563726236,4080.94140992346,3122.78076649385,3587.88379824396,4615.46802807906,5100.095808097671,5254.8823379961605,5408.41049555432,4166.97968386501,3506.07288506966,4095.8129415585704,3432.38573600893
ARG,,,1155.89017025099,850.30473690206,1173.23821277123,1279.1134321453098,1272.80297767396,1062.54355190601,1141.0804807928998,1329.0586592156599,1322.59080368944,1372.3743432739,1408.86520848881,2097.02257902742,2844.86364753884,2027.3371238474601,1948.22468587272,2129.7082808990303,2146.3644830986605,2520.92163373012,2758.83521210768,2776.32199028147,2927.89756021605,3553.3777516627897,2659.70860023312,2926.1269695140004,3613.62170927636,3562.87560174521,3985.19121035849,2383.86769311311,4333.4829731214595,5735.36032735223,6823.5376160468,6969.11808781005,7483.1396817084415,7408.70823818765,7721.35454273963,8213.12719994479,8289.505729331178,7774.73620280001,7708.1009960541405,7208.3715665121,2593.40415042466,3349.8061244115,4277.72135064389,5109.85132522621,5919.012037077529,7245.44831728945,9020.873098071941,8225.13717626412,10385.964431955501,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14591.8633810541,11683.949621636299
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.854659491342,590.121047267559,369.632616583198,357.20327774567903,400.515238080735,456.37504866380897,504.058559449916,523.2830680407479,609.172437516102,597.432514707894,622.742139063498,694.42322774468,783.2406986470419,930.127321851799,1191.91901957402,1643.7530293610998,2158.1436971017897,3139.27749894333,4010.8572425522602,2994.3425444850895,3218.37270660563,3525.8047467115293,3681.8574560431,3838.1858014838203,3986.2316237671293,3607.29669672271,3591.8292755302296,3914.5012684128,4212.0709427293705
AUS,1807.7857102120602,1874.73210577126,1851.84185074588,1964.1504696359,2128.06835509202,2277.55839760436,2340.43868460617,2576.2845085275,2720.08260948799,2986.94950744786,3299.84320663058,3489.95229368358,3943.7876390396996,4763.628389681599,6473.165152973261,6994.20992688909,7476.7487477451905,7765.07054434927,8241.997275872958,9281.52335605458,10194.3187014782,11833.7432115058,12766.522252171699,11518.6685192068,12431.945848830801,11437.664460965801,11364.2394626146,11624.539587135501,14254.5575749384,17798.3142378324,18211.2745901556,18821.4773892062,18569.8127525565,17634.2563519674,18046.0202439789,20319.6306283956,21861.32550987,23468.5968306374,21318.964169431798,20533.035061906998,21679.2478424147,19490.8611097303,20082.4832672749,23447.0310006717,30430.6764374443,33999.2428575835,36044.922810848504,40960.0544948199,49601.6567082178,42772.3591664498,52022.125596187594,62517.833747150304,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129006,54066.4712686117,57373.68668412809
AUT,935.460426850415,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.9686060056601,1569.6671828996698,1677.6735280427201,1825.3861255212398,2058.76907922607,2380.97844333246,2924.04887110057,3890.7224564763396,4630.7572070671,5285.62072414121,5678.386637822729,6810.6277286986,8205.46892702823,9793.76530724628,10869.5464236099,9385.24901832146,9410.34722457985,9537.40743056414,8991.06507601017,9172.096768809759,13083.0726978243,16392.769566581297,17578.6189397397,17468.9461918554,21680.9896863626,22410.911736270402,24880.164070125,24081.5278077646,25646.700659168397,30325.8495818396,29809.0767730821,26705.478599389102,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.897241165498,36821.521468009305,38403.1338770715,40635.281815972405,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.708706286394,51717.495940551504,44178.047377743205,45237.805092154296,47431.630607607,51461.9547804677
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324491677,1209.23749284959,676.15151145252,529.8136618432869,436.216868966934,397.198116117247,409.210755159618,505.563774721979,561.907035403795,573.893296585846,655.097432602586,703.683843432722,763.080637985358,883.64399654717,1045.00937916805,1578.40239029603,2473.08181863536,3851.4378687117205,5574.6038021861295,4950.29479142375,5842.805783585761,7189.69122920765,7496.294647682629,7875.75695254288,7891.31314749986,5500.32049702735,3880.7387308955604,4147.08971569171,4721.17808673142
BHR,,,,,,,,,,,,,,,,,,,,,8537.92937933215,9269.26961652991,9446.158001946009,9421.2856547764,9590.73020168943,8706.76660148502,7041.60195861695,7555.100464480551,7958.747924585391,8030.90465921389,8528.98333446095,9055.67993615686,9082.75853260694,9698.18906295446,10130.505232961701,10376.9717049211,10544.7035702291,10672.166005162,10076.220622037901,10401.5458114095,13636.3962320368,12868.269156127,13049.803220445801,14222.0367965749,15846.5441389804,17959.255440228502,19307.609663318002,20976.5435328438,23066.509898321,19355.904672026398,20722.1372891348,22514.2587537979,23654.371850445,24744.3576319157,24989.3802145933,22688.963786573397,22619.1166718849,23715.4827473156,24050.7575053956
