ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AFG,0.0001702079950099376,0.00016930041614724378,0.00016839304986060655,0.00016743516454272283,0.00016647052333886492,0.0001654919560020042,0.00016447332702352945,0.00016335686886633906,0.00016224949949124323,0.00016113918201394323,0.0001599699270929413,0.00015873498046136168,0.0001575060962784446,0.00015626930841618615,0.00015497488009850208,0.00015364410043471847,0.0001523006145847375,0.00038177704639727456,0.00038035474863837114,0.000378635450771521,0.00037686640250331947,0.0003749534729660854,0.0003730919177600337,0.0003711745158978005,0.000369213677747426,0.00036719699294087007,0.00036512756407014257,0.00036300539113524367,0.0003627261578543359,0.00036245002716543825,0.0003621738964765406,0.00036189776578764295,0.00036162163509874525,0.0003613424018178375,0.00036106316853692976,0.000360783935256022,0.0003605015993831042,0.0003602223661021964,0.00035994003022927855,0.0003596545917643506,0.0003593722558914328,0.00035908681742650485,0.00035881439498189436,0.00035838224508985924,0.0003577878559833306,0.0003571800196353297,0.0003566518350401599,0.0003560153413588964,0.00035545488583828776,0.00035492810834337996,0.0003543287967070451,0.000353729678112012,0.0003530633837577368,0.00035237247936555137,0.00035166140133782313,0.0003509520209870971,0.000350248916282622,0.00034944784510087157
ALB,8.052869458842917e-05,8.030530796370297e-05,8.008502393098686e-05,7.986163730626065e-05,7.963825068153445e-05,7.941486405680825e-05,7.919147743208204e-05,7.896809080735585e-05,7.865162642232704e-05,7.805592875639052e-05,7.745712849844389e-05,7.68552256484872e-05,7.625332279853048e-05,7.564831735656368e-05,7.504020932258681e-05,7.44321012886099e-05,7.382089066262294e-05,7.320968003663597e-05,7.259536681863892e-05,7.178248771199633e-05,7.096960860535377e-05,7.015362690670112e-05,6.933144002402829e-05,6.850925314135547e-05,6.768440438237495e-05,6.691845625732005e-05,6.606179846535376e-05,6.520174261456057e-05,6.441632794075639e-05,6.348524682843794e-05,6.231685980392209e-05,6.045659925175959e-05,5.8942597766193795e-05,5.7474027134105075e-05,5.5935718876895714e-05,5.44919513786231e-05,5.2409991762580656e-05,5.076539428029925e-05,4.9256853365264186e-05,4.7590208625306467e-05,4.561619424097791e-05,4.247470696707568e-05,3.9635484630583035e-05,3.690074474308782e-05,3.389704740745265e-05,3.087949276004654e-05,2.8226475998441445e-05,2.5744395448517813e-05,2.2081631636328142e-05,1.868624661736007e-05,1.571940318322585e-05,1.2140120999051127e-05,9.051995935707065e-06,6.029161173964358e-06,2.1688430350526522e-06,-6.953807280472531e-07,-3.207438366841753e-06,-5.260544073971125e-06
DZA,0.0003187105495294377,0.00031426500283551756,0.00030983564094878575,7.439532589999052e-05,6.974891636127596e-05,6.601859687102207e-05,6.553095990350539e-05,6.505140844782902e-05,6.456356058902854e-05,6.408723152105108e-05,6.358127464620424e-05,6.318297840494981e-05,6.279790958669152e-05,6.258723144392815e-05,6.220645799213545e-05,6.18048904928517e-05,6.064704369640591e-05,5.826506256528661e-05,5.5939950609324704e-05,5.370493063632598e-05,5.102026875618649e-05,4.824971169569562e-05,4.5619157260420484e-05,4.303670500854351e-05,4.0412081003721104e-05,3.784603913541192e-05,3.522964616718209e-05,3.233083385245558e-05,2.9656084493169502e-05,2.743730905209674e-05,0.00025508030122336047,0.00025269302887562836,0.0002503029818171794,0.00024753671847393976,0.00024505862153536694,0.00024282326774406144,0.00024045261894420881,0.00023803920505241247,0.00023553270960520537,0.00023325170778677992,0.0002307632239344629,0.0002283629128476467,0.00022630552887530032,0.00022448042521750356,0.00022267628401234112,0.00022073185149629315,0.00021893482730735479,0.000217735950735977,0.00021427151830431107,0.0002127469238783086,0.00021171484138891722,0.00020976610171191052,0.00020760805639611344,0.0002055993045735779,0.00020213338400645482,0.00019997010064815257,0.00019824342960457416,0.0001965346503052682
AGO,0.0003877074589698117,0.00038644780661371673,0.00038514471796948055,0.00038379819303710315,0.00038241443700060473,0.000380984142083955,0.00037950730828715406,0.0003779839356102017,0.0003764202292371183,0.0003748037787998634,0.00037270952919305525,0.0003701560959687544,0.0003675033798001307,0.00036473586772713384,0.0003618628675257941,0.000358871968828071,0.00035578178718602524,0.00035257370704759616,0.000349253933596804,0.00034582246683364875,0.00034220930126784975,0.00033853783059702917,0.0003347908195648698,0.0003309476995542489,0.0003271374487422022,0.0003230042006227248,0.00031894432148996994,0.00031475095457277297,0.00031055815540595905,0.00030624027019615304,0.00030169012582884807,0.0002969214140844072,0.00029210562782908025,0.0002873557633484359,0.00028380804060705546,0.0002803013526172175,0.00027663374394336777,0.00027285230260131626,0.00026912812285984116,0.0002656314975283071,0.00026191460947135655,0.0002586309103837823,0.0002550851635118478,0.0002517330855055041,1.7977175880314186e-05,1.6412838709428613e-05,0.0002455233767031552,1.341588057839737e-05,0.0002408393705398136,8.188813156390784e-06,7.065482506454958e-06,5.329894600484446e-06,3.2315573824380256e-06,1.1472781855378456e-06,-2.5064264804149273e-06,0.0002254127775577821,0.0002239538508352734,-9.771929649268806e-06
ARG,-2.5528469924811497e-05,-2.723489553035887e-05,0.0002015946509818422,-3.0556329191104155e-05,-3.206277629432497e-05,-3.368031774059908e-05,-3.550574315091928e-05,-3.697554196063814e-05,-3.828777807823069e-05,-3.980311597635863e-05,-4.1113798961135353e-05,-4.238090178455847e-05,-4.287282488649164e-05,0.00018758734578451844,0.00018539487365392334,0.0001840716742468523,0.00018307459861397363,-4.8962010188416e-05,-4.969862166050691e-05,-5.057460587839954e-05,-5.187609173415764e-05,0.00017777987650429203,-5.371103774333771e-05,-5.6069111337222815e-05,-5.7054857338720836e-05,-5.752272584453496e-05,-5.881623048437776e-05,-5.953795697553866e-05,-6.25684038941732e-05,-6.146530609298719e-05,-6.0911736901114104e-05,-6.0317533055989674e-05,-6.080075617229984e-05,-6.08517797863114e-05,-6.157076673595855e-05,-6.183600637895036e-05,-6.188172845644316e-05,-6.23984244849117e-05,-6.35924050313899e-05,-6.425894162669188e-05,-6.541691715102646e-05,-7.13143453642586e-05,-7.098584406697685e-05,-7.045283270892602e-05,-7.002126118448032e-05,-6.961004170462647e-05,-6.859143665613322e-05,-6.704750263700213e-05,-6.846705563986149e-05,-6.645890091239089e-05,-6.404874366983129e-05,-6.418486180394706e-05,-6.458477957837035e-05,-6.58438135865524e-05,-6.455331162932842e-05,-6.609287365296211e-05,-6.438834261358393e-05,-6.8125907390735e-05
ARM,4.763643983090659e-05,4.4930979598111475e-05,4.223172454933654e-05,3.953557209257165e-05,3.685493259585723e-05,3.4183600875173065e-05,3.152157693051916e-05,2.8871963353905595e-05,2.624406792136262e-05,2.3693737289071827e-05,2.1233381825073517e-05,1.878853932112561e-05,1.6368517553258432e-05,1.3964008745441671e-05,1.2068325027279024e-05,1.0181949085146685e-05,8.314188695074813e-06,6.458838673043297e-06,5.1557500288071015e-06,4.501103114678949e-06,3.852661384570906e-06,3.2073222464730207e-06,2.5619831083750945e-06,1.916643970277182e-06,1.2744074241893312e-06,6.352734701115697e-07,-7.578919560756155e-10,-6.367892540237345e-07,-5.871477818623493e-07,2.474494688508097e-07,1.0330619522624273e-06,1.6220366438292664e-06,2.4515707780875756e-06,3.351758594042904e-06,4.269556918124636e-06,5.18100433650963e-06,6.0626498406632655e-06,7.024476336268476e-06,7.876525722531308e-06,8.777617250090749e-06,9.732323803498006e-06,1.0297301422043005e-05,1.0774289418529522e-05,1.1384131502367736e-05,1.2216804487142084e-05,1.3118703346283347e-05,1.4563356620499735e-05,1.5878240100090268e-05,1.5013197576172545e-05,1.5582482089130376e-05,1.6248196461879315e-05,1.6738884945659315e-05,1.715542991355515e-05,1.748793636073361e-05,1.7133579012684926e-05,1.7125003243500015e-05,1.7432924526923285e-05,1.7634257527700378e-05
AUS,-4.506481271310958e-05,-4.598172250014549e-05,-4.672990399282227e-05,-4.7412209290905474e-05,-4.809568320531511e-05,-4.886688558462251e-05,-4.911233178474608e-05,-4.945799905213652e-05,-4.9658270683730724e-05,-4.9802223198421844e-05,-5.008193499610479e-05,-5.005362197464138e-05,-4.959592564352189e-05,-4.810955628033279e-05,-4.799112485776987e-05,-4.791411170750447e-05,-4.805544851710131e-05,-4.797561632912753e-05,-4.724220007081638e-05,-4.664910563175281e-05,-4.521277464784819e-05,-4.404121094359848e-05,-4.539401337878536e-05,-4.424499769418018e-05,-4.530461793643981e-05,-4.529643469781765e-05,-4.490239602461483e-05,-4.177157484443268e-05,-3.758117972013365e-05,-3.701063418473774e-05,-3.621203548696086e-05,-3.613690612601414e-05,-3.682147149660267e-05,-3.594515270800536e-05,-3.29130507954286e-05,-3.07240923532446e-05,-2.8459313951819084e-05,-3.0532090208135055e-05,-3.102814245231447e-05,-2.928403293678081e-05,-3.13954117480732e-05,-3.108989010760764e-05,0.00020328928242987354,-1.9872958201531645e-05,-1.6116164072445266e-05,-1.4117039819094488e-05,-8.812644870067403e-06,8.034251469583951e-07,-7.46496962692535e-06,2.860469478936341e-06,1.4629578100350236e-05,2.066567989477254e-05,2.0514930059807368e-05,1.3684452630832337e-05,6.723242647039475e-06,-1.4283067991584665e-06,2.9840854539065485e-06,6.472832147066479e-06
AUT,-1.2729476806614448e-05,-1.2816733961519227e-05,-1.2880330920036909e-05,-1.2913948366611414e-05,-1.2944435374958934e-05,-1.2969565111649726e-05,-1.3025975420953378e-05,-1.3053124703915067e-05,-1.303436532693595e-05,-1.2919655851331322e-05,-1.2680526486004987e-05,-1.2083650407824101e-05,-1.0997001263305666e-05,-1.017239359521409e-05,-9.446261530409665e-06,-9.023168629926224e-06,-7.745089124799217e-06,-6.1633894565534615e-06,-4.358015492870348e-06,-3.145215426986035e-06,-4.77760094798129e-06,-3.929497926936535e-06,-2.963505697383984e-06,-2.7699012468954993e-06,-1.7384041975733363e-06,3.614989418785478e-06,8.273179789927392e-06,1.0478864749883656e-05,1.1186657565423157e-05,1.6897455481662923e-05,1.8582199125776475e-05,2.2281071744805964e-05,2.2204690282329146e-05,2.486446478247545e-05,3.1124641175531704e-05,3.1383460070180724e-05,2.8648269983878936e-05,3.0266618413289677e-05,3.0909157403242626e-05,2.8754163204632774e-05,2.958863349102063e-05,3.260969440137445e-05,4.020887840038798e-05,4.639766970236316e-05,4.909816988601262e-05,5.255082400436373e-05,6.062103346729301e-05,6.711013414061019e-05,6.365749336423204e-05,6.32608630238933e-05,6.936448945480994e-05,6.601942837220357e-05,6.791774350614061e-05,6.848536853453708e-05,5.918181311197426e-05,5.9817620240375675e-05,6.176774745187481e-05,6.579781153775886e-05
AZE,4.5045408557352364e-05,4.597618616037822e-05,4.690696376340405e-05,4.7837741366429885e-05,4.8768518969455746e-05,4.969929657248158e-05,5.063007417550744e-05,5.156395437054333e-05,5.249473197356918e-05,5.23551153331153e-05,5.094653856053621e-05,4.9534859195947e-05,4.812628242336789e-05,4.711173483606973e-05,4.649431902606259e-05,4.587690321605543e-05,4.526258999805839e-05,4.4648276780061344e-05,4.414255428241728e-05,4.376403805718677e-05,4.3391727015976445e-05,4.301631338275601e-05,4.2640899749535604e-05,4.214448502792181e-05,4.152706921791465e-05,4.0909653407907544e-05,4.029534018991046e-05,3.9677924379903344e-05,3.979272028427653e-05,4.0748318623383066e-05,0.0002725359140619643,0.00027287825708482115,0.00027366465853248713,0.00027451514216764763,0.0002754287293314641,4.5539950462708435e-05,0.0002774714243602405,0.0002784983723732146,4.793630053994939e-05,4.7406568361505205e-05,4.683912333077426e-05,4.6287279936818544e-05,4.5803055179114575e-05,4.536600601979093e-05,0.00027622667200879856,4.5776117008998346e-05,4.6746161354706244e-05,0.0002789824514924575,4.6775630955689224e-05,4.71373988151878e-05,4.797797885706616e-05,0.0002784337098296815,4.719509632064527e-05,0.00027721813601207105,0.00027354769596687404,0.00027072262794402825,0.0002700315502724589,3.8785270442742604e-05
BHR,-4.9301806245155756e-05,-4.935765290133728e-05,-4.941039696550878e-05,-4.94631410296802e-05,-4.980752874279978e-05,-5.0617305257432294e-05,-5.1417773996034446e-05,-5.221203755061653e-05,-5.2990788145148204e-05,-5.376333355565962e-05,-5.4526571190140785e-05,-5.5283603640601825e-05,-5.602512313101235e-05,-5.6760437437402834e-05,-5.7486443967762955e-05,-5.820314272209288e-05,-5.891053370039252e-05,-5.960861690266188e-05,-6.0300494920911113e-05,-6.0979962571119966e-05,-6.0804541516586966e-05,-6.126397656309001e-05,-6.194738106661736e-05,-6.239680718096423e-05,-6.405488371960381e-05,-6.660688283579764e-05,-6.663369051305372e-05,-6.677820099427922e-05,-6.729977829298488e-05,-6.731649116230334e-05,-6.729391059122916e-05,-6.747668096814991e-05,-6.675580791500868e-05,-6.624665302679356e-05,-6.594927632465835e-05,-6.574603573454286e-05,-6.558935495373195e-05,-6.626908359352323e-05,-6.588363245493747e-05,-6.213106438701841e-05,-6.30098707437417e-05,-6.28123901047353e-05,-6.148807099151207e-05,-5.9659445203263137e-05,-5.728807257213649e-05,-5.5822173327840194e-05,-5.4004233101083134e-05,-5.171810757246203e-05,-5.61603634695596e-05,-5.475135788875812e-05,-5.286855207028843e-05,-5.175821863539218e-05,-5.072445832633268e-05,-5.0689368789216534e-05,-5.3609744797146816e-05,-5.3972838420737545e-05,-5.300306077841494e-05,-5.292877544332039e-05
BGD,0.00018252563094942666,0.0001818459822602702,0.00018113754592812275,0.0001804002888454344,0.000179641377869129,0.0001788540731917348,0.00017804058312689976,0.00017718424109645258,0.00017630801829411424,0.00017539216223827516,0.0001744291048693604,0.00017339098708119493,0.0001723900375965623,0.00017096990783267254,0.0003994565768952628,0.00039661515880131076,0.0003937214923295879,0.000390673639946687,0.00038737626092554743,0.00038383947722607904,0.0003809150206518034,0.0003796087177366393,0.00037828988419656164,0.0003769699475105788,0.0003756535884922817,0.0003742592965915956,0.00037287420980769317,0.0003714539448415855,0.000370010116974087,0.0003685414025047393,0.00036714249056949685,0.00013518336437532997,0.00013408683188483576,0.00013296251110836058,0.00013186462526927314,0.00013078905632887188,0.0001296365274082575,0.0001284643993265536,0.00012727544822930365,0.00012608150008859976,0.00012450807997220245,0.00012245810981759573,0.00012040848663149502,0.00011831671944992251,0.0003470528350501764,0.000344867968019392,0.00011182560426062742,0.00010964656253743811,0.00010742532842582684,0.0001051802888929297,0.00010290620710677291,0.00010054809748733214,9.827636222000507e-05,9.603647493450368e-05,9.378801547158872e-05,0.0003224250712276459,0.0003202082997941693,8.709766456081497e-05
BLR,9.289126862126082e-05,8.935121113775252e-05,8.57553069980627e-05,8.210045361018121e-05,7.860383241481415e-05,7.506067233929577e-05,7.148338375166645e-05,6.7865761467906e-05,6.422952363208504e-05,6.0351283619477356e-05,5.6196912917972014e-05,5.2014618888375905e-05,4.7829222266769665e-05,4.362831268511305e-05,3.9861765984868473e-05,3.609211669261382e-05,3.2337980360409585e-05,2.859004921222551e-05,2.500655544057601e-05,2.1606114597521586e-05,1.823669967456806e-05,1.4885900303675026e-05,1.1559921668862652e-05,8.258763770131017e-06,5.053786223712024e-06,1.8767320053838052e-06,-1.2661937008334468e-06,-4.374990894939773e-06,-6.587138998131171e-06,-7.815765434125336e-06,-9.450273465444692e-06,-1.0779870435241964e-05,-1.2076484106057824e-05,-1.3424434127517557e-05,-1.4722276770873756e-05,-1.581292508534874e-05,-1.70534899743293e-05,-1.8089893149303765e-05,-1.973497807537076e-05,-2.11824153180328e-05,-2.2724072624611424e-05,-2.394477841985387e-05,-2.502797973166464e-05,-2.584624834975032e-05,-2.64312554598012e-05,-2.7030306500344423e-05,-2.742122056452077e-05,-2.6928535187664934e-05,-2.9498576515011072e-05,-3.009016896285463e-05,-3.130050460219914e-05,-3.23930426806487e-05,-3.2749575889525975e-05,-3.3889562005285165e-05,-3.814315188477459e-05,-4.0703598608988285e-05,-4.1316548131848025e-05,-4.2136144252988994e-05
BEL,-0.00011158349550518168,-0.00011186919684837837,-0.00011224162662313203,-0.00011252344175248898,-0.00011283108698025498,-0.00011314607450853552,-0.00011344368553973936,-0.00011372422419107502,-0.00011387984034426656,-0.00011394590162809218,-0.00011399198592654681,-0.00011352966593616558,-0.00011268732758947821,-0.00011211222055483304,-0.00011137201470035337,-0.00011111804287518604,-0.00011038834347453291,-0.00010885195156375239,-0.00010768613160726424,-0.0001070421777733899,-0.00011011126885689224,-0.00011190645453956001,-0.0001127920735834326,-0.00011354585233490486,-0.00011350119418385306,-0.00010983640560716389,-0.0001066927510454886,-0.00010551756227942356,-0.00010563569564175617,-0.00010118750874118471,-0.00010093790907665629,-9.849414778581705e-05,-0.00010000109852740635,-9.801784234545995e-05,-9.339457616900759e-05,-9.469281716427975e-05,-9.80047810122658e-05,-9.76298242959378e-05,-9.795278115201926e-05,-0.00010069817149899055,-0.0001009286409127493,-9.891127235616207e-05,-9.249140944741135e-05,-8.713608596098914e-05,-8.564529516150472e-05,-8.363363949739753e-05,-7.732845308253955e-05,-7.303912534747158e-05,-7.726177060170917e-05,-7.792135325029184e-05,-7.435962651398134e-05,-7.759567334930152e-05,-7.534015260004666e-05,-7.437147372627297e-05,-8.226157041115611e-05,-8.121531307712782e-05,-7.879333812667712e-05,-7.510302828833243e-05
BEN,0.00017877167371453605,0.0001768654015823155,0.0001748611592113456,0.00017274726943348898,0.00017052630630901963,0.00016818399342877324,0.0001657193916126054,0.0001631375455455189,0.00016042797685307533,0.00015758740727595658,0.0001546190324999385,0.0001515390627228643,0.00014834067624099956,0.00014498516676367,0.0001415208262367717,0.00013787684811147213,0.00013412163017555937,0.00013026764264576158,0.00012685460470128086,0.0001248556534967905,0.00012272748999867084,0.0001205939473241379,0.000118387237327005,0.0001161881060203597,0.00011397548558288246,0.00011180666117322498,0.00010959245435338459,0.000107302220630582,0.00010495025557500313,0.00010270261675292309,0.00010032926991298616,9.845138637411641e-05,9.760132635296476e-05,9.648350080691986e-05,9.56200181643476e-05,9.467208371546681e-05,9.36674238163485e-05,9.271441717700005e-05,9.17619567551987e-05,9.074130380071151e-05,8.976303554618562e-05,8.8611639990671e-05,8.717665116654284e-05,8.569018000663461e-05,8.414773700929129e-05,8.26056091586894e-05,8.111914465971818e-05,7.966564050996046e-05,7.804934684662564e-05,7.641723003789564e-05,7.489869655378146e-05,7.330722721672893e-05,7.179300227892313e-05,7.020118549848353e-05,6.837416586810204e-05,6.672293905439753e-05,6.509734566905254e-05,6.349285777439013e-05
BTN,0.00020372705186445274,0.00020308481531836487,0.00020240845026016612,0.00020169795668985638,0.00020095023201542562,0.00020016527623687385,0.00019933688417018083,0.00019846815840735671,0.0001975559963563914,0.00019660039801728486,0.00019559515820601699,0.00019453717433057759,0.0001934326515749869,0.00019227228216321467,0.00019105606609526093,0.0001897777981871054,0.0001884467862147785,0.00018704751721822964,0.00018558619638147907,0.00018405661852050658,0.00018248122192347896,0.00018080866683671396,0.00017910194830493754,0.00017727891237807961,0.00017538484491563092,0.00017346909846809223,0.0001715178873714137,0.0001694321047013172,0.00016717755341411837,0.00016491432237586678,0.0001624037712535436,0.00015992033152433929,0.00015731647068455937,0.00015473242048882858,0.00015204407082782602,0.0001492130472100992,0.00014637237997903522,0.0001433495511185389,0.00014029449146838388,0.00013710403420812096,0.00013386237903097374,0.0001305761283268628,0.00012724494082050472,0.00012381256713372144,0.00012049425605420094,0.00011829606831200714,0.00011644851991153857,0.00011415511682795509,0.00011174323474148136,0.00010983225986584981,0.00010773640636612357,0.00010526766468917979,0.00010277594233423096,0.0001006413357330342,9.837648510023996e-05,9.626120814514494e-05,9.44051530524523e-05,9.211126278467426e-05
